pais,articulo,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10
PE,522212,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522242,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522243,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522356,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,522376,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522377,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522381,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522382,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522383,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522384,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522385,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522387,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522388,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522390,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522391,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522392,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522393,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522394,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522395,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522396,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522417,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522419,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522420,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522421,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522422,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522423,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,522434,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522438,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,522439,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,522603,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,,,,,,,,,,,,,
PE,522616,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,522617,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522618,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522628,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522629,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522630,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,522666,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,599048,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599049,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599056,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599057,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599058,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599061,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599103,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599105,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599107,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,,,,,,,,,,,,,
PE,599182,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599183,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,599202,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599204,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599205,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599206,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599235,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599238,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599289,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599298,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599302,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599303,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599305,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599308,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599311,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599340,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599344,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599345,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599346,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599347,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599348,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599350,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599360,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599363,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599364,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599367,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599370,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,599371,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,599373,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,599376,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,599378,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,599400,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599404,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599411,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599414,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599415,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599423,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599425,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599426,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599427,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599428,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599464,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599491,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599493,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599494,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,599533,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599534,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599538,Volt,Volt,Volt,Volt,Volt,Volt,Sporade + Volt,,,,,,,,,,,,,
PE,599546,Volt,Volt,Volt,Volt,Volt,Volt,Sporade + Volt,,,,,,,,,,,,,
PE,599547,Volt,Volt,Volt,Volt,Volt,Volt,Sporade + Volt,,,,,,,,,,,,,
PE,599628,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,,,,,,,,,,,,,
PE,599661,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599664,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599666,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599668,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599693,Volt,Volt,Volt,Volt,Volt,Volt,Sporade + Volt,,,,,,,,,,,,,
PE,599723,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599773,Volt,Volt,Volt,Volt,Volt,Volt,Sporade + Volt,,,,,,,,,,,,,
PE,599790,Volt,Volt,Volt,Volt,Volt,Volt,Sporade + Volt,,,,,,,,,,,,,
PE,599800,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,,,,,,,,,,,,,
PE,599840,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,599868,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,599926,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,599982,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508603,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,512331,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,514540,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,521780,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521786,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,521787,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
